SNo,LGD State Code,LGD State Name,LGD District Code,LGD District Name,Census 2001 Code,Census 2011 Code,comment
753,9,Uttar Pradesh,178,Sant Kabir Nagar,56,186,
283,20,Jharkhand,341,Saraikela Kharsawan,17,369,
121,10,Bihar,218,Saran,17,219,
157,22,Chhattisgarh,763,Sarangarh-Bilaigarh,multiple ,multiple, It was created by splitting the districts of Raigarh and Balodabazar-Bhatapara. 
533,3,Punjab,608,SAS Nagar,multiple ,052,Also Sahibzada Ajit Singh Nagar
418,27,Maharashtra,494,Satara,31,527,
376,23,Madhya Pradesh,426,Satna,13,429,
581,8,Rajasthan,113,Sawai Madhopur,10,108,
377,23,Madhya Pradesh,427,Sehore,33,445,
436,14,Manipur,257,Senapati,01,272,
378,23,Madhya Pradesh,428,Seoni,44,456,
671,16,Tripura,653,Sepahijala,01,289,
462,15,Mizoram,268,Serchhip,05,285,
168,7,Delhi,671,Shahdara,multiple ,multiple,Two new districts  Southeast and Shahdara  were carved out and notified from the nine districts
379,23,Madhya Pradesh,429,Shahdol,16,460,
534,3,Punjab,40,Shahid Bhagat Singh Nagar,06,039,
754,9,Uttar Pradesh,180,Shahjahanpur,22,152,
582,8,Rajasthan,780,Shahpura,24,122,"Shahpura district was formed from the Bhilwara district in the Indian state of Rajasthan on March 17, 2023."
380,23,Madhya Pradesh,430,Shajapur,22,436,
475,13,Nagaland,765,Shamator,02,267,"Shamator district was formed from the Tuensang district in the Indian state of Nagaland on January 19, 2022"
755,9,Uttar Pradesh,660,Shamli,02,133,"Shamli district in Uttar Pradesh, India was formed from the Muzaffarnagar district in September 2011."
122,10,Bihar,219,Sheikhpura,26,228,
123,10,Bihar,220,Sheohar,03,205,
381,23,Madhya Pradesh,431,Sheopur,01,418,
47,12,Arunachal Pradesh,725,Shi Yomi,07,250,created in 2018 by splitting the West Siang district
238,2,Himachal Pradesh,23,Shimla,11,033,
310,29,Karnataka,547,Shivamogga,15,568,
382,23,Madhya Pradesh,432,Shivpuri,06,423,
259,1,Jammu And Kashmir,625,Shopian,05,013,
756,9,Uttar Pradesh,181,Shrawasti,51,181,
463,15,Mizoram,267,Siaha,08,288,
48,12,Arunachal Pradesh,679,Siang,multiple ,multiple,This district was created in 2015 by splitting the West Siang and East Siang districts
757,9,Uttar Pradesh,182,Siddharthnagar,54,184,
658,36,Telangana,692,Siddipet,multiple ,multiple,"The Siddipet district was formed from parts of the Medak, Karimnagar, and Warangal districts in Telangana."
383,23,Madhya Pradesh,433,Sidhi,17,462,
583,8,Rajasthan,114,Sikar,13,111,
284,20,Jharkhand,342,Simdega,21,367,
419,27,Maharashtra,495,Sindhudurg,33,529,
384,23,Madhya Pradesh,638,Singrauli,17,463,
239,2,Himachal Pradesh,24,Sirmaur,10,032,
584,8,Rajasthan,115,Sirohi,19,117,
227,6,Haryana,74,Sirsa,11,079,
124,10,Bihar,221,Sitamarhi,04,206,
758,9,Uttar Pradesh,183,Sitapur,24,154,
615,33,Tamil Nadu,585,Sivaganga,23,622,
83,18,Assam,300,Sivasagar,16,311,
125,10,Bihar,222,Siwan,16,218,
240,2,Himachal Pradesh,25,Solan,09,031,
420,27,Maharashtra,496,Solapur,30,526,
759,9,Uttar Pradesh,184,Sonbhadra,70,200,
508,21,Odisha,372,Sonepur,23,392,Also known as Subarnapur
228,6,Haryana,75,Sonipat,08,076,
84,18,Assam,301,Sonitpur,11,306,
592,11,Sikkim,742,Soreng,02,242,Soreng was formed from the erstwhile West Sikkim district
169,7,Delhi,83,South,09,098,
784,19,West Bengal,304,South 24 Parganas,18,343,
3,35,Andaman And Nicobar Islands,602,South Andamans,01,640,
170,7,Delhi,670,South East,multiple ,multiple,Two new districts  Southeast and Shahdara  were carved out and notified from the nine districts
447,17,Meghalaya,277,South Garo Hills,03,295,
174,30,Goa,552,South Goa,02,586,
85,18,Assam,707,South Salmara Mancachar,02,301,The South Salmara Mankachar district was formed in 2016 when the Old Dhubri district was split into two.
672,16,Tripura,271,South Tripura,02,290,
171,7,Delhi,84,South West,08,097,
448,17,Meghalaya,663,South West Garo Hills,multiple ,multiple,The SWGH district was carved out of the West Garo Hills and North Garo Hills districts.
449,17,Meghalaya,658,South West Khasi Hills,04,296,"The South West Khasi Hills district was formed on August 3, 2012, when it was carved out of the West Khasi Hills district. "
535,3,Punjab,39,Sri Muktsar Sahib,12,044,Name changed from Mukatsar to Sri Mukatsar Sahib
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,19,550,
24,28,Andhra Pradesh,754,Sri Sathya Sai,22,553,from erstwhile Ananthapuramu district
22,28,Andhra Pradesh,519,Srikakulam,11,542,
260,1,Jammu And Kashmir,13,Srinagar,03,010,
158,22,Chhattisgarh,642,Sukma,16,416,"Sukma is a district in the state of Chhattisgarh, India that was newly formed on January 16, 2012. It was carved out of Dantewada district"
760,9,Uttar Pradesh,185,Sultanpur,49,179,
509,21,Odisha,373,Sundargarh,05,374,
126,10,Bihar,223,Supaul,06,208,
159,22,Chhattisgarh,648,Surajpur,02,401,"It was formed by dividing the Surguja district,"
203,24,Gujarat,459,Surat,22,492,
204,24,Gujarat,460,Surendranagar,08,475,
160,22,Chhattisgarh,389,Surguja,02,401,
659,36,Telangana,696,Suryapet,08,539,"The Suryapet district was formed from the Nalgonda district in the state of Telangana, India."
437,14,Manipur,258,Tamenglong,02,273,
86,18,Assam,756,Tamulpur,multiple ,324,"Tamulpur is a district in the state of Assam, India that was recreated on August 25, 2023. The district was originally formed on January 23, 2022, but was merged with Baksa district on December 30, 2022, and ceased to exist on January 1, 2023. The Assam government announced the decision to recreate the district on August 25, 2023, making the total number of districts in Assam 35."
205,24,Gujarat,641,Tapi,22,493,
536,3,Punjab,609,Tarn Taran,2,050,
49,12,Arunachal Pradesh,238,Tawang,01,245,
685,5,Uttarakhand,55,Tehri Garhwal,04,059,
438,14,Manipur,716,Tengnoupal,09,280,"Tengnoupal, bifurcated from Channel district,"
616,33,Tamil Nadu,733,Tenkasi,29,628," Tenkasi district was formed from the Tirunelveli district in Tamil Nadu, India in 2019"
421,27,Maharashtra,497,Thane,21,517,
617,33,Tamil Nadu,586,Thanjavur,21,620,
619,33,Tamil Nadu,587,The Nilgiris,11,611,
618,33,Tamil Nadu,588,Theni,25,624,
620,33,Tamil Nadu,589,Thiruvallur,01,602,
328,32,Kerala,565,Thiruvananthapuram,14,601,
621,33,Tamil Nadu,590,Thiruvarur,20,619,
622,33,Tamil Nadu,594,Thoothukkudi,28,627,
439,14,Manipur,259,Thoubal,05,276,
329,32,Kerala,566,Thrissur,07,594,
385,23,Madhya Pradesh,434,Tikamgarh,08,424,
87,18,Assam,302,Tinsukia,14,309,
50,12,Arunachal Pradesh,239,Tirap,13,254,
623,33,Tamil Nadu,591,Tiruchirappalli,15,614,
624,33,Tamil Nadu,592,Tirunelveli,29,628,
625,33,Tamil Nadu,732,Tirupathur,04,605,"Tirupattur district was formed in 2019 by splitting off three taluks from Vellore district in Tamil Nadu, India"
25,28,Andhra Pradesh,752,Tirupati,multiple ,multiple, The new district was created from parts of the former Chittoor and Nellore districts:
626,33,Tamil Nadu,634,Tiruppur,multiple ,633,
627,33,Tamil Nadu,593,Tiruvannamalai,06,606,
585,8,Rajasthan,116,Tonk,22,120,
476,13,Nagaland,757,Tseminyu,07,270,"Tseminyu was created as the 13th district of Nagaland on December 18, 2021, from the former Tseminyü sub-division of Kohima district"
477,13,Nagaland,249,Tuensang,02,267,
311,29,Karnataka,548,Tumakuru,18,571,
586,8,Rajasthan,117,Udaipur,26,130,
88,18,Assam,617,Udalguri,08,326,
686,5,Uttarakhand,56,Udam Singh Nagar,12,067,
261,1,Jammu And Kashmir,14,Udhampur,10,019,
312,29,Karnataka,549,Udupi,16,569,
386,23,Madhya Pradesh,435,Ujjain,21,435,
440,14,Manipur,260,Ukhrul,08,279,
387,23,Madhya Pradesh,436,Umaria,15,431,
241,2,Himachal Pradesh,26,Una,07,029,
673,16,Tripura,655,Unakoti,04,292,decision to further bifurcate North Tripura District was accepted and the district “UNAKOTI DISTRICT” was created
761,9,Uttar Pradesh,186,Unnao,26,156,
51,12,Arunachal Pradesh,240,Upper Siang,09,252,
52,12,Arunachal Pradesh,241,Upper Subansiri,06,249,
161,22,Chhattisgarh,381,Uttar Bastar Kanker,14,413,Name change to Uttar Bastar Kanker from Kanker
785,19,West Bengal,311,Uttar Dinajpur,04,330,
687,5,Uttarakhand,57,Uttar Kashi,01,056,
313,29,Karnataka,550,Uttara Kannada,10,563,
206,24,Gujarat,461,Vadodara,19,486,
127,10,Bihar,224,Vaishali,18,220,
207,24,Gujarat,462,Valsad,25,491,
762,9,Uttar Pradesh,187,Varanasi,67,197,
628,33,Tamil Nadu,595,Vellore,04,605,
388,23,Madhya Pradesh,437,Vidisha,31,443,
314,29,Karnataka,738,Vijayanagar,12,565,Vijayanagara was officially carved out of Ballari on 2 October 2021 to become the 31st district of the state with Hospet as the district headquarters.
315,29,Karnataka,530,Vijayapura,03,557,
660,36,Telangana,698,Vikarabad,06,537,The Medchal-Malkajgiri district was created in 2014 when the Rangareddy district was reorganized to form the new Vikarabad district and Medchal-Malkajgiri district
629,33,Tamil Nadu,596,Viluppuram,07,607,
630,33,Tamil Nadu,597,Virudhunagar,26,625,
26,28,Andhra Pradesh,520,Visakhapatnam,13,544,
27,28,Andhra Pradesh,521,Vizianagaram,12,543,
661,36,Telangana,693,Wanaparthy,07,538,"Wanaparthy is a district in the southern part of Telangana, India, that was formed in 2016 when the state was reorganized. It was carved out of the Mahabubnagar district."
662,36,Telangana,522,Warangal,09,540,
422,27,Maharashtra,498,Wardha,08,504,
423,27,Maharashtra,499,Washim,06,502,
330,32,Kerala,567,Wayanad,03,590,
172,7,Delhi,85,West,07,096,
450,17,Meghalaya,278,West Garo Hills,01,293,
28,28,Andhra Pradesh,523,West Godavari,15,546,
451,17,Meghalaya,275,West Jaintia Hills,07,299,
53,12,Arunachal Pradesh,242,West Kameng,02,246,
89,18,Assam,710,West Karbi Anglong,19,314,That was formed in 2016 from the existing Karbi Anglong district.
452,17,Meghalaya,279,West Khasi Hills,04,296,
54,12,Arunachal Pradesh,243,West Siang,07,250,
285,20,Jharkhand,343,West Singhbhum,17,368,
674,16,Tripura,272,West Tripura,01,289,
478,13,Nagaland,250,Wokha,05,264,
663,36,Telangana,697,Yadadri Bhuvanagiri,08,539,"The Yadadri Bhuvanagiri district was created from the former Nalgonda district in the state of Telangana, India."
316,29,Karnataka,635,Yadgir,04,580,
229,6,Haryana,76,Yamunanagar,03,071,
513,34,Puducherry,601,Yanam,01,634,
424,27,Maharashtra,500,Yavatmal,14,510,
29,28,Andhra Pradesh,504,YSR,20,551,
479,13,Nagaland,251,Zunheboto,04,263,
