srcStateName,srcDistrictName,TRU,Country,StateCode,StateName,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea,srcYear,YearCode,Year
Andhra Pradesh,Anantapur,Total,India,28,ANDHRA PRADESH,502,ANANTHAPURAMU,2604374,1116334,1488040,1316045,560107,755938,1288329,556227,732102,606406,260593,345813,33403,959740,993143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Anantapur,Urban,India,28,ANDHRA PRADESH,502,ANANTHAPURAMU,1116334,,,560107,,,556227,,,260593,,,,,33403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Chittoor,Rural,India,28,ANDHRA PRADESH,503,CHITTOOR,1504307,,,755760,,,748547,,,365965,,,,,517342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Chittoor,Total,India,28,ANDHRA PRADESH,503,CHITTOOR,2482602,978295,1504307,1246375,490615,755760,1236227,487680,748547,606150,240185,365965,23746,517342,541088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Chittoor,Urban,India,28,ANDHRA PRADESH,503,CHITTOOR,978295,,,490615,,,487680,,,240185,,,,,23746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,East Godavari,Rural,India,28,ANDHRA PRADESH,505,EAST GODAVARI,1271983,,,635721,,,636262,,,359319,,,,,243414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,East Godavari,Total,India,28,ANDHRA PRADESH,505,EAST GODAVARI,2500614,1228631,1271983,1240446,604725,635721,1260168,623906,636262,691150,331831,359319,26307,243414,269721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,East Godavari,Urban,India,28,ANDHRA PRADESH,505,EAST GODAVARI,1228631,,,604725,,,623906,,,331831,,,,,26307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Guntur,Rural,India,28,ANDHRA PRADESH,506,GUNTUR,1026924,,,515951,,,510973,,,283866,,,,,241381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Guntur,Total,India,28,ANDHRA PRADESH,506,GUNTUR,2679662,1652738,1026924,1334981,819030,515951,1344681,833708,510973,703011,419145,283866,31549,241381,272930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Guntur,Urban,India,28,ANDHRA PRADESH,506,GUNTUR,1652738,,,819030,,,833708,,,419145,,,,,31549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Krishna,Rural,India,28,ANDHRA PRADESH,510,KRISHNA,1252566,,,628969,,,623597,,,365974,,,,,353619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Krishna,Total,India,28,ANDHRA PRADESH,510,KRISHNA,2967504,1714938,1252566,1489392,860423,628969,1478112,854515,623597,820795,454821,365974,30740,353619,384359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Krishna,Urban,India,28,ANDHRA PRADESH,510,KRISHNA,1714938,,,860423,,,854515,,,454821,,,,,30740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Kurnool,Rural,India,28,ANDHRA PRADESH,511,KURNOOL,1517967,,,766103,,,751864,,,306947,,,,,765769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Kurnool,Total,India,28,ANDHRA PRADESH,511,KURNOOL,2574216,1056249,1517967,1293991,527888,766103,1280225,528361,751864,533950,227003,306947,26758,765769,792527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Kurnool,Urban,India,28,ANDHRA PRADESH,511,KURNOOL,1056249,,,527888,,,528361,,,227003,,,,,26758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Prakasam,Rural,India,28,ANDHRA PRADESH,517,PRAKASAM,1843161,,,937168,,,905993,,,455103,,,,,1016802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Prakasam,Total,India,28,ANDHRA PRADESH,517,PRAKASAM,2438214,595053,1843161,1235019,297851,937168,1203195,297202,905993,604252,149149,455103,23379,1.016802e+06,1040181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Prakasam,Urban,India,28,ANDHRA PRADESH,517,PRAKASAM,595053,,,297851,,,297202,,,149149,,,,,23379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Sri Potti Sriramulu Nellore,Rural,India,28,ANDHRA PRADESH,515,SRI POTTI SRIRAMULU NELLORE,1763819,,,887817,,,876002,,,467186,,,,,949031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Sri Potti Sriramulu Nellore,Total,India,28,ANDHRA PRADESH,515,SRI POTTI SRIRAMULU NELLORE,2539191,775372,1763819,1279436,391619,887817,1259755,383753,876002,655932,188746,467186,20665,949031,969696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Sri Potti Sriramulu Nellore,Urban,India,28,ANDHRA PRADESH,515,SRI POTTI SRIRAMULU NELLORE,775372,,,391619,,,383753,,,188746,,,,,20665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Srikakulam,Rural,India,28,ANDHRA PRADESH,519,SRIKAKULAM,1818262,,,904633,,,913629,,,461096,,,,,400073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Srikakulam,Total,India,28,ANDHRA PRADESH,519,SRIKAKULAM,2234205,415943,1818262,1109414,204781,904633,1124791,211162,913629,564849,103753,461096,17989,400073,418062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Srikakulam,Urban,India,28,ANDHRA PRADESH,519,SRIKAKULAM,415943,,,204781,,,211162,,,103753,,,,,17989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Visakhapatnam,Rural,India,28,ANDHRA PRADESH,520,VISAKHAPATNAM,202441,,,101645,,,100796,,,50889,,,,,51243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Visakhapatnam,Total,India,28,ANDHRA PRADESH,520,VISAKHAPATNAM,2076683,1874242,202441,1047065,945420,101645,1029618,928822,100796,527196,476307,50889,56069,51243,107312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Visakhapatnam,Urban,India,28,ANDHRA PRADESH,520,VISAKHAPATNAM,1874242,,,945420,,,928822,,,476307,,,,,56069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Vizianagaram,Rural,India,28,ANDHRA PRADESH,521,VIZIANAGARAM,1501047,,,749264,,,751783,,,376249,,,,,373414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Vizianagaram,Total,India,28,ANDHRA PRADESH,521,VIZIANAGARAM,1991958,490911,1501047,990313,241049,749264,1001645,249862,751783,499872,123623,376249,14008,373414,387422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Vizianagaram,Urban,India,28,ANDHRA PRADESH,521,VIZIANAGARAM,490911,,,241049,,,249862,,,123623,,,,,14008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,West Godavari,Rural,India,28,ANDHRA PRADESH,523,WEST GODAVARI,1312365,,,658814,,,653551,,,372817,,,,,200248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,West Godavari,Total,India,28,ANDHRA PRADESH,523,WEST GODAVARI,2082785,770420,1312365,1037953,379139,658814,1044832,391281,653551,577028,204211,372817,14391,200248,214639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,West Godavari,Urban,India,28,ANDHRA PRADESH,523,WEST GODAVARI,770420,,,379139,,,391281,,,204211,,,,,14391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Y.S.R.,Rural,India,28,ANDHRA PRADESH,504,Y.S.R.,1251840,,,632140,,,619700,,,316426,,,,,849633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Y.S.R.,Total,India,28,ANDHRA PRADESH,504,Y.S.R.,2206414,954574,1251840,1111684,479544,632140,1094730,475030,619700,539273,222847,316426,46828,849633,896461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,Y.S.R.,Urban,India,28,ANDHRA PRADESH,504,Y.S.R.,954574,,,479544,,,475030,,,222847,,,,,46828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Anjaw,Rural,India,12,ARUNACHAL PRADESH,628,ANJAW,20185,,,10882,,,9303,,,4425,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Anjaw,Total,India,12,ARUNACHAL PRADESH,628,ANJAW,21167,982,20185,11507,625,10882,9660,357,9303,4612,187,4425,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Anjaw,Urban,India,12,ARUNACHAL PRADESH,628,ANJAW,982,,,625,,,357,,,187,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Changlang,Rural,India,12,ARUNACHAL PRADESH,229,CHANGLANG,128889,,,66235,,,62654,,,24836,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Changlang,Total,India,12,ARUNACHAL PRADESH,229,CHANGLANG,159386,30497,128889,81655,15420,66235,77731,15077,62654,31766,6930,24836,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Changlang,Urban,India,12,ARUNACHAL PRADESH,229,CHANGLANG,30497,,,15420,,,15077,,,6930,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Dibang Valley,Rural,India,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,5620,,,3098,,,2522,,,1331,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,Dibang Valley,Total,India,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,14240,8620,5620,7921,4823,3098,6319,3797,2522,3450,2119,1331,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
